
Integration time [ms]:   0,100
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7514292SP
Wave   ;Sample   ;Dark     ;Reference
[nm]   ;[counts] ;[counts] ;[counts] 

142,358;  531,480;  530,150;  645,000
142,965;  616,970;  613,480;  709,000
143,571;  594,220;  592,470;  674,000
144,178;  611,700;  609,270;  688,000
144,784;  634,010;  631,260;  724,000
145,390;  626,140;  625,280;  706,000
145,996;  625,650;  623,710;  726,000
146,603;  628,620;  625,220;  725,000
147,209;  616,820;  614,320;  712,000
147,815;  618,760;  614,340;  726,000
148,421;  612,810;  608,900;  699,000
149,027;  630,620;  628,000;  727,000
149,633;  617,250;  612,910;  710,000
150,240;  629,570;  628,010;  746,000
150,846;  606,470;  603,200;  667,000
151,452;  639,890;  632,840;  727,000
152,058;  707,590;  661,640;  737,000
152,663;  682,580;  626,940;  713,000
153,269;  664,570;  609,780;  677,000
153,875;  682,390;  630,700;  721,000
154,481;  681,730;  628,260;  765,000
155,087;  676,520;  621,630;  728,000
155,693;  684,500;  629,190;  730,000
156,299;  696,810;  644,140;  746,000
156,904;  686,680;  631,930;  724,000
157,510;  691,120;  638,500;  738,000
158,116;  675,580;  625,920;  706,000
158,721;  680,000;  624,590;  711,000
159,327;  684,550;  629,560;  773,000
159,933;  695,350;  643,660;  702,000
160,538;  677,800;  624,860;  697,000
161,144;  674,710;  621,030;  699,000
161,749;  667,550;  616,200;  705,000
162,355;  669,640;  614,700;  696,000
162,960;  659,230;  606,870;  715,000
163,566;  663,540;  607,710;  686,000
164,171;  678,650;  627,820;  707,000
164,776;  697,120;  642,930;  778,000
165,382;  671,100;  619,610;  736,000
165,987;  669,050;  618,340;  717,000
166,592;  646,100;  594,260;  653,000
167,198;  663,040;  611,680;  655,000
167,803;  647,830;  594,740;  663,000
168,408;  661,830;  610,190;  674,000
169,013;  654,590;  603,770;  724,000
169,618;  666,200;  614,920;  680,000
170,224;  647,420;  596,180;  687,000
170,829;  626,040;  574,330;  683,000
171,434;  664,790;  614,340;  727,000
172,039;  689,740;  636,480;  704,000
172,644;  646,290;  596,260;  688,000
173,249;  683,850;  631,380;  719,000
173,854;  651,320;  597,110;  701,000
174,458;  656,860;  604,550;  689,000
